pid,fum,frcv,fry,forc
697189,DB-2950,ST-0550,0,CJ-1300
697356,JF-1900,PB-0750,0,
697512,JC-6200,JC-6200,0,
697579,LM-1150,LM-1150,0,AH-3050
697615,JC-6200,JC-6200,0,WM-0550
697745,RF-0500,RF-0500,0,
697902,CE-0650,,0,
697925,CW-1425,DS-3300,0,
697944,CW-1425,CW-1425,0,
697952,RG-1850,RG-1850,0,BG-1200
697972,ML-0650,,0,
698131,AR-1250,AR-1250,0,HC-0050
698263,MM-0912,DH-4650,24,
698268,DM-4300,AS-0600,2,LJ-1700
698301,DB-3800,JW-0725,0,BI-0150
698305,AC-2350,,0,
698451,WS-0925,MT-0875,0,DH-2150
698907,AF-0900,JJ-0650,0,
698939,RW-3850,KA-0750,2,
698983,RT-0150,,0,CM-0250
699253,EM-0200,RJ-0800,0,OS-0200
699370,JG-0650,CJ-2050,0,MG-0925
699385,JG-0650,BB-2250,0,
699414,CP-0500,CP-0500,0,
699419,LB-0500,CC-0200,0,FR-0200
699515,BR-1100,BR-1100,0,ZH-0200
699565,JC-5680,PG-0100,0,RS-0962
699568,BR-1100,BR-1100,0,
699708,SD-0800,TJ-2250,0,DE-0050
699760,QP-0050,,0,CS-1250
699811,RF-0500,KD-0400,0,LA-0200
699897,JM-0887,NR-0350,36,PB-0750
699943,EM-0250,EM-0250,0,LW-1350
700012,JM-2900,JM-2900,0,
700030,TW-2700,TW-2700,0,
700063,GA-0500,RL-1325,0,KL-0800
700315,TB-2075,RG-1250,21,JH-2100
700321,GB-0350,CH-3100,1,
700438,EE-0250,DP-1268,0,JN-1750
700463,EE-0250,DF-1800,0,TM-3450
700503,AS-1600,JW-1100,0,
700561,SW-0350,KJ-0650,53,QD-0100
700572,AS-1600,WM-0550,5,JS-3250
700716,RT-0150,RT-0150,0,
700723,DA-0900,KA-0750,0,BM-0775
700725,JL-0215,CL-1400,0,LR-0600
700761,JA-0450,TF-0750,0,JF-3150
700799,JB-5725,JW-2550,0,MT-0850
700816,LB-0500,LB-0500,0,BM-0600
700873,SV-0200,JL-0600,0,KV-0050
700885,VC-0300,DH-1425,0,KC-2550
700897,EM-0200,PK-0300,1,MM-1550
701032,CH-5000,ST-0550,9,CJ-1300
701047,FW-0750,RA-1350,0,AB-1500
701141,CN-0500,EH-0150,19,GH-1050
701146,TG-0900,,0,
701342,MM-0900,,0,BC-2350
701448,RW-3850,TJ-2250,1,RQ-0200
701456,JR-3700,JR-3700,0,
701521,CM-2280,AO-0250,0,AO-0250
701592,JW-5650,TJ-0950,0,
701877,AC-2350,JR-2075,0,
702044,AL-1100,SR-0250,15,VM-0300
702106,BB-2425,CL-1000,0,MI-0150
702115,PR-0300,JC-6400,0,YN-0100
702229,DA-0212,AS-0600,3,EK-0250
702258,AR-1300,JT-3350,0,DH-4650
702265,AT-0350,AT-0350,0,LG-0950
702320,AR-1300,JC-4300,0,EG-0900
702357,AR-1300,SS-2750,0,BR-1000
702467,JC-6200,JH-3675,0,DV-0050
702499,JL-0280,RB-3350,0,BL-1350
702567,CJ-0650,DH-1250,0,BB-2250
702627,TE-0350,JR-2150,0,NE-0250
702642,CJ-2350,CJ-2350,0,JG-3850
